query_gene	BiGG_gene	score	gene	protein	reaction	model
	iCN718.ABAYE_RS08510		G_ABAYE_RS08510	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510	R_CYTBD	iCN718
	iCN718.ABAYE_RS11260		G_ABAYE_RS11260	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265	R_CYTBD	iCN718
	iCN718.ABAYE_RS11265		G_ABAYE_RS11265	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265	R_CYTBD	iCN718
	iCN718.ABAYE_RS08080		G_ABAYE_RS08080	P_ABAYE_RS08080	R_NO3R2	iCN718
	iCN718.ABAYE_RS18235		G_ABAYE_RS18235	P_ABAYE_RS18235	R_PPA	iCN718
	iCN718.ABAYE_RS13985		G_ABAYE_RS13985	P_ABAYE_RS13985	R_PPK	iCN718
	iCN718.ABAYE_RS02025		G_ABAYE_RS02025	P_ABAYE_RS02025+ABAYE_RS02030	R_GLUSy	iCN718
	iCN718.ABAYE_RS02030		G_ABAYE_RS02030	P_ABAYE_RS02025+ABAYE_RS02030	R_GLUSy	iCN718
	iCN718.ABAYE_RS00995		G_ABAYE_RS00995	P_ABAYE_RS00995	R_UAGDP	iCN718
	iCN718.ABAYE_RS00995		G_ABAYE_RS00995	P_ABAYE_RS00995	R_G1PACT	iCN718
	iCN718.ABAYE_RS08070		G_ABAYE_RS08070	P_ABAYE_RS08070	R_NTRIR2x	iCN718
	iCN718.ABAYE_RS08070		G_ABAYE_RS08070	P_ABAYE_RS08070	R_NTRIR2y	iCN718
	iCN718.ABAYE_RS05360		G_ABAYE_RS05360	P_ABAYE_RS05360	R_UAG2EMA	iCN718
	iCN718.ABAYE_RS18860		G_ABAYE_RS18860	P_ABAYE_RS18860	R_G6PI	iCN718
	iCN718.ABAYE_RS18860		G_ABAYE_RS18860	P_ABAYE_RS18860	R_PGI	iCN718
	iCN718.ABAYE_RS18860		G_ABAYE_RS18860	P_ABAYE_RS18860	R_G6PI3	iCN718
	iCN718.ABAYE_RS05005		G_ABAYE_RS05005	P_ABAYE_RS05005	R_FBP	iCN718
	iCN718.ABAYE_RS10665		G_ABAYE_RS10665	P_ABAYE_RS10665	R_FBA	iCN718
	iCN718.ABAYE_RS10665		G_ABAYE_RS10665	P_ABAYE_RS10665	R_FBA2	iCN718
	iCN718.ABAYE_RS15605		G_ABAYE_RS15605	P_ABAYE_RS15605	R_UAGCVT	iCN718
	iCN718.ABAYE_RS07990		G_ABAYE_RS07990	P_ABAYE_RS07990	R_UAPGR	iCN718
	iCN718.ABAYE_RS14575		G_ABAYE_RS14575	P_ABAYE_RS14575	R_PPM	iCN718
	iCN718.ABAYE_RS14575		G_ABAYE_RS14575	P_ABAYE_RS14575	R_PMANM	iCN718
	iCN718.ABAYE_RS14575		G_ABAYE_RS14575	P_ABAYE_RS14575	R_PGMT	iCN718
	iCN718.ABAYE_RS18855		G_ABAYE_RS18855	P_ABAYE_RS18855	R_PPM	iCN718
	iCN718.ABAYE_RS18855		G_ABAYE_RS18855	P_ABAYE_RS18855	R_PMANM	iCN718
	iCN718.ABAYE_RS18855		G_ABAYE_RS18855	P_ABAYE_RS18855	R_PGMT	iCN718
	iCN718.ABAYE_RS17125		G_ABAYE_RS17125	P_ABAYE_RS17125	R_TPI	iCN718
	iCN718.ABAYE_RS05305		G_ABAYE_RS05305	P_ABAYE_RS05305	R_GAPD	iCN718
	iCN718.ABAYE_RS09850		G_ABAYE_RS09850	P_ABAYE_RS09850	R_ASPT	iCN718
	iCN718.ABAYE_RS10675		G_ABAYE_RS10675	P_ABAYE_RS10675	R_PGK	iCN718
	iCN718.ABAYE_RS17600		G_ABAYE_RS17600	P_ABAYE_RS17600	R_PGM	iCN718
	iCN718.ABAYE_RS08670		G_ABAYE_RS08670	P_ABAYE_RS08670	R_ENO	iCN718
	iCN718.ABAYE_RS07365		G_ABAYE_RS07365	P_ABAYE_RS07365	R_PPS	iCN718
	iCN718.ABAYE_RS01415		G_ABAYE_RS01415	P_ABAYE_RS01415	R_ACS	iCN718
	iCN718.ABAYE_RS01415		G_ABAYE_RS01415	P_ABAYE_RS01415	R_PACPT_1	iCN718
	iCN718.ABAYE_RS01415		G_ABAYE_RS01415	P_ABAYE_RS01415	R_APAT_1	iCN718
	iCN718.ABAYE_RS01415		G_ABAYE_RS01415	P_ABAYE_RS01415	R_AADa	iCN718
	iCN718.ABAYE_RS01415		G_ABAYE_RS01415	P_ABAYE_RS01415	R_AADb	iCN718
	iCN718.ABAYE_RS07465		G_ABAYE_RS07465	P_ABAYE_RS07465	R_ACS	iCN718
	iCN718.ABAYE_RS07465		G_ABAYE_RS07465	P_ABAYE_RS07465	R_PACPT_1	iCN718
	iCN718.ABAYE_RS07465		G_ABAYE_RS07465	P_ABAYE_RS07465	R_APAT_1	iCN718
	iCN718.ABAYE_RS07465		G_ABAYE_RS07465	P_ABAYE_RS07465	R_AADa	iCN718
	iCN718.ABAYE_RS07465		G_ABAYE_RS07465	P_ABAYE_RS07465	R_AADb	iCN718
	iCN718.ABAYE_RS18700		G_ABAYE_RS18700	P_ABAYE_RS18700	R_ACS	iCN718
	iCN718.ABAYE_RS18700		G_ABAYE_RS18700	P_ABAYE_RS18700	R_PACPT_1	iCN718
	iCN718.ABAYE_RS18700		G_ABAYE_RS18700	P_ABAYE_RS18700	R_APAT_1	iCN718
	iCN718.ABAYE_RS18700		G_ABAYE_RS18700	P_ABAYE_RS18700	R_AADa	iCN718
	iCN718.ABAYE_RS18700		G_ABAYE_RS18700	P_ABAYE_RS18700	R_AADb	iCN718
	iCN718.ABAYE_RS08180		G_ABAYE_RS08180	P_ABAYE_RS08180	R_DAAD	iCN718
	iCN718.ABAYE_RS18740		G_ABAYE_RS18740	P_ABAYE_RS18740	R_DAAD	iCN718
	iCN718.ABAYE_RS04410		G_ABAYE_RS04410	P_ABAYE_RS04410	R_CS	iCN718
	iCN718.ABAYE_RS18835		G_ABAYE_RS18835	P_ABAYE_RS18835	R_LDH_D	iCN718
	iCN718.ABAYE_RS05595		G_ABAYE_RS05595	P_ABAYE_RS05595	R_ALDD2x	iCN718
	iCN718.ABAYE_RS05595		G_ABAYE_RS05595	P_ABAYE_RS05595	R_ABUTD	iCN718
	iCN718.ABAYE_RS05595		G_ABAYE_RS05595	P_ABAYE_RS05595	R_ALDD20x	iCN718
	iCN718.ABAYE_RS05595		G_ABAYE_RS05595	P_ABAYE_RS05595	R_ALDD2y	iCN718
	iCN718.ABAYE_RS05595		G_ABAYE_RS05595	P_ABAYE_RS05595	R_ALDD20y	iCN718
	iCN718.ABAYE_RS05595		G_ABAYE_RS05595	P_ABAYE_RS05595	R_GLYALDDr	iCN718
	iCN718.ABAYE_RS05595		G_ABAYE_RS05595	P_ABAYE_RS05595	R_NABTNO	iCN718
	iCN718.ABAYE_RS05595		G_ABAYE_RS05595	P_ABAYE_RS05595	R_4ABUTD	iCN718
	iCN718.ABAYE_RS07685		G_ABAYE_RS07685	P_ABAYE_RS07685	R_ALDD2x	iCN718
	iCN718.ABAYE_RS07685		G_ABAYE_RS07685	P_ABAYE_RS07685	R_ABUTD	iCN718
	iCN718.ABAYE_RS07685		G_ABAYE_RS07685	P_ABAYE_RS07685	R_ALDD20x	iCN718
	iCN718.ABAYE_RS07685		G_ABAYE_RS07685	P_ABAYE_RS07685	R_ALDD2y	iCN718
	iCN718.ABAYE_RS07685		G_ABAYE_RS07685	P_ABAYE_RS07685	R_ALDD20y	iCN718
	iCN718.ABAYE_RS07685		G_ABAYE_RS07685	P_ABAYE_RS07685	R_GLYALDDr	iCN718
	iCN718.ABAYE_RS07685		G_ABAYE_RS07685	P_ABAYE_RS07685	R_NABTNO	iCN718
	iCN718.ABAYE_RS07685		G_ABAYE_RS07685	P_ABAYE_RS07685	R_4ABUTD	iCN718
	iCN718.ABAYE_RS11785		G_ABAYE_RS11785	P_ABAYE_RS11785	R_ALDD2x	iCN718
	iCN718.ABAYE_RS11785		G_ABAYE_RS11785	P_ABAYE_RS11785	R_ABUTD	iCN718
	iCN718.ABAYE_RS11785		G_ABAYE_RS11785	P_ABAYE_RS11785	R_ALDD20x	iCN718
	iCN718.ABAYE_RS11785		G_ABAYE_RS11785	P_ABAYE_RS11785	R_ALDD2y	iCN718
	iCN718.ABAYE_RS11785		G_ABAYE_RS11785	P_ABAYE_RS11785	R_ALDD20y	iCN718
	iCN718.ABAYE_RS11785		G_ABAYE_RS11785	P_ABAYE_RS11785	R_GLYALDDr	iCN718
	iCN718.ABAYE_RS11785		G_ABAYE_RS11785	P_ABAYE_RS11785	R_NABTNO	iCN718
	iCN718.ABAYE_RS11785		G_ABAYE_RS11785	P_ABAYE_RS11785	R_4ABUTD	iCN718
	iCN718.ABAYE_RS14150		G_ABAYE_RS14150	P_ABAYE_RS14150	R_ALDD2x	iCN718
	iCN718.ABAYE_RS14150		G_ABAYE_RS14150	P_ABAYE_RS14150	R_ABUTD	iCN718
	iCN718.ABAYE_RS14150		G_ABAYE_RS14150	P_ABAYE_RS14150	R_ALDD20x	iCN718
	iCN718.ABAYE_RS14150		G_ABAYE_RS14150	P_ABAYE_RS14150	R_ALDD2y	iCN718
	iCN718.ABAYE_RS14150		G_ABAYE_RS14150	P_ABAYE_RS14150	R_ALDD20y	iCN718
	iCN718.ABAYE_RS14150		G_ABAYE_RS14150	P_ABAYE_RS14150	R_GLYALDDr	iCN718
	iCN718.ABAYE_RS14150		G_ABAYE_RS14150	P_ABAYE_RS14150	R_NABTNO	iCN718
	iCN718.ABAYE_RS14150		G_ABAYE_RS14150	P_ABAYE_RS14150	R_4ABUTD	iCN718
	iCN718.ABAYE_RS16330		G_ABAYE_RS16330	P_ABAYE_RS16330	R_PPAKr	iCN718
	iCN718.ABAYE_RS16330		G_ABAYE_RS16330	P_ABAYE_RS16330	R_ACKr	iCN718
	iCN718.ABAYE_RS08035		G_ABAYE_RS08035	P_ABAYE_RS08035	R_ACCOAC	iCN718
	iCN718.ABAYE_RS08035		G_ABAYE_RS08035	P_ABAYE_RS03615+ABAYE_RS08035	R_ACCOAC	iCN718
	iCN718.ABAYE_RS08035		G_ABAYE_RS08035	P_ABAYE_RS08035+ABAYE_RS08040	R_ACCOAC	iCN718
	iCN718.ABAYE_RS08035		G_ABAYE_RS08035	P_ABAYE_RS08035+ABAYE_RS11585	R_ACCOAC	iCN718
	iCN718.ABAYE_RS08035		G_ABAYE_RS08035	P_ABAYE_RS08035+ABAYE_RS12285	R_ACCOAC	iCN718
	iCN718.ABAYE_RS08035		G_ABAYE_RS08035	P_ABAYE_RS08035+ABAYE_RS15725	R_ACCOAC	iCN718
	iCN718.ABAYE_RS03615		G_ABAYE_RS03615	P_ABAYE_RS03615+ABAYE_RS08035	R_ACCOAC	iCN718
	iCN718.ABAYE_RS03615		G_ABAYE_RS03615	P_ABAYE_RS03615+ABAYE_RS11585	R_ACCOAC	iCN718
	iCN718.ABAYE_RS03615		G_ABAYE_RS03615	P_ABAYE_RS03615+ABAYE_RS12285	R_ACCOAC	iCN718
	iCN718.ABAYE_RS11585		G_ABAYE_RS11585	P_ABAYE_RS03615+ABAYE_RS11585	R_ACCOAC	iCN718
	iCN718.ABAYE_RS11585		G_ABAYE_RS11585	P_ABAYE_RS08035+ABAYE_RS11585	R_ACCOAC	iCN718
	iCN718.ABAYE_RS11585		G_ABAYE_RS11585	P_ABAYE_RS08040+ABAYE_RS11585	R_ACCOAC	iCN718
	iCN718.ABAYE_RS11585		G_ABAYE_RS11585	P_ABAYE_RS11585+ABAYE_RS15725	R_ACCOAC	iCN718
	iCN718.ABAYE_RS12285		G_ABAYE_RS12285	P_ABAYE_RS03615+ABAYE_RS12285	R_ACCOAC	iCN718
	iCN718.ABAYE_RS12285		G_ABAYE_RS12285	P_ABAYE_RS08035+ABAYE_RS12285	R_ACCOAC	iCN718
	iCN718.ABAYE_RS12285		G_ABAYE_RS12285	P_ABAYE_RS08040+ABAYE_RS12285	R_ACCOAC	iCN718
	iCN718.ABAYE_RS12285		G_ABAYE_RS12285	P_ABAYE_RS12285+ABAYE_RS15725	R_ACCOAC	iCN718
	iCN718.ABAYE_RS08040		G_ABAYE_RS08040	P_ABAYE_RS08035+ABAYE_RS08040	R_ACCOAC	iCN718
	iCN718.ABAYE_RS08040		G_ABAYE_RS08040	P_ABAYE_RS08040+ABAYE_RS11585	R_ACCOAC	iCN718
	iCN718.ABAYE_RS08040		G_ABAYE_RS08040	P_ABAYE_RS08040+ABAYE_RS12285	R_ACCOAC	iCN718
	iCN718.ABAYE_RS15725		G_ABAYE_RS15725	P_ABAYE_RS08035+ABAYE_RS15725	R_ACCOAC	iCN718
	iCN718.ABAYE_RS15725		G_ABAYE_RS15725	P_ABAYE_RS11585+ABAYE_RS15725	R_ACCOAC	iCN718
	iCN718.ABAYE_RS15725		G_ABAYE_RS15725	P_ABAYE_RS12285+ABAYE_RS15725	R_ACCOAC	iCN718
	iCN718.ABAYE_RS04365		G_ABAYE_RS04365	P_ABAYE_RS04365	R_ALCD2x	iCN718
	iCN718.ABAYE_RS07700		G_ABAYE_RS07700	P_ABAYE_RS07700	R_ALCD2x	iCN718
	iCN718.ABAYE_RS07975		G_ABAYE_RS07975	P_ABAYE_RS07975	R_ALCD2x	iCN718
	iCN718.ABAYE_RS09595		G_ABAYE_RS09595	P_ABAYE_RS09595	R_ALCD2x	iCN718
	iCN718.p2ABAYE0004		G_p2ABAYE0004	P_p2ABAYE0004	R_ALCD2x	iCN718
	iCN718.p3ABAYE0020		G_p3ABAYE0020	P_p3ABAYE0020	R_ALCD2x	iCN718
	iCN718.p3ABAYE0024		G_p3ABAYE0024	P_p3ABAYE0024	R_ALCD2x	iCN718
	iCN718.ABAYE_RS13930		G_ABAYE_RS13930	P_ABAYE_RS13930	R_ADSK	iCN718
	iCN718.ABAYE_RS13930		G_ABAYE_RS13930	P_ABAYE_RS13930+ABAYE_RS13935	R_SADT	iCN718
	iCN718.ABAYE_RS13930		G_ABAYE_RS13930	P_ABAYE_RS13930+ABAYE_RS13935	R_SELADT	iCN718
	iCN718.ABAYE_RS13935		G_ABAYE_RS13935	P_ABAYE_RS13930+ABAYE_RS13935	R_SADT	iCN718
	iCN718.ABAYE_RS13935		G_ABAYE_RS13935	P_ABAYE_RS13930+ABAYE_RS13935	R_SELADT	iCN718
	iCN718.ABAYE_RS10490		G_ABAYE_RS10490	P_ABAYE_RS10490	R_MALS	iCN718
	iCN718.ABAYE_RS05715		G_ABAYE_RS05715	P_ABAYE_RS05715	R_LGTHL	iCN718
	iCN718.ABAYE_RS07555		G_ABAYE_RS07555	P_ABAYE_RS07555	R_ACONT	iCN718
	iCN718.ABAYE_RS16085		G_ABAYE_RS16085	P_ABAYE_RS16085	R_ACONT	iCN718
	iCN718.ABAYE_RS18810		G_ABAYE_RS18810	P_ABAYE_RS18810	R_ACONT	iCN718
	iCN718.ABAYE_RS02275		G_ABAYE_RS02275	P_ABAYE_RS02275	R_GDH1	iCN718
	iCN718.ABAYE_RS02275		G_ABAYE_RS02275	P_ABAYE_RS02275	R_GLUDy	iCN718
	iCN718.ABAYE_RS13810		G_ABAYE_RS13810	P_ABAYE_RS13810	R_GDH1	iCN718
	iCN718.ABAYE_RS13810		G_ABAYE_RS13810	P_ABAYE_RS13810	R_GLUDy	iCN718
	iCN718.ABAYE_RS04435		G_ABAYE_RS04435	P_ABAYE_RS04435	R_AKGDa	iCN718
	iCN718.ABAYE_RS04435		G_ABAYE_RS04435	P_ABAYE_RS04435	R_OGDE1	iCN718
	iCN718.ABAYE_RS04435		G_ABAYE_RS04435	P_ABAYE_RS04435	R_ODH2E	iCN718
	iCN718.ABAYE_RS06135		G_ABAYE_RS06135	P_ABAYE_RS06135	R_PTAr	iCN718
	iCN718.ABAYE_RS06135		G_ABAYE_RS06135	P_ABAYE_RS06135	R_PTA2	iCN718
	iCN718.ABAYE_RS06135		G_ABAYE_RS06135	P_ABAYE_RS06135	R_ME1	iCN718
	iCN718.ABAYE_RS06135		G_ABAYE_RS06135	P_ABAYE_RS06135	R_ME2	iCN718
	iCN718.ABAYE_RS16335		G_ABAYE_RS16335	P_ABAYE_RS16335	R_PTAr	iCN718
	iCN718.ABAYE_RS16335		G_ABAYE_RS16335	P_ABAYE_RS16335	R_PTA2	iCN718
	iCN718.ABAYE_RS00705		G_ABAYE_RS00705	P_ABAYE_RS00705	R_PPC	iCN718
	iCN718.ABAYE_RS18525		G_ABAYE_RS18525	P_ABAYE_RS18525	R_ME1	iCN718
	iCN718.ABAYE_RS18525		G_ABAYE_RS18525	P_ABAYE_RS18525	R_ME2	iCN718
	iCN718.ABAYE_RS05415		G_ABAYE_RS05415	P_ABAYE_RS05415	R_ICDHyr	iCN718
	iCN718.ABAYE_RS05425		G_ABAYE_RS05425	P_ABAYE_RS05425	R_ICDHyr	iCN718
	iCN718.ABAYE_RS04440		G_ABAYE_RS04440	P_ABAYE_RS04440	R_AKGDb	iCN718
	iCN718.ABAYE_RS04440		G_ABAYE_RS04440	P_ABAYE_RS04440	R_GLCOASYNT	iCN718
	iCN718.ABAYE_RS02855		G_ABAYE_RS02855	P_ABAYE_RS02855	R_MDH	iCN718
	iCN718.ABAYE_RS03690		G_ABAYE_RS03690	P_ABAYE_RS03690	R_ACACT1r	iCN718
	iCN718.ABAYE_RS03735		G_ABAYE_RS03735	P_ABAYE_RS03735	R_ACACT1r	iCN718
	iCN718.ABAYE_RS09825		G_ABAYE_RS09825	P_ABAYE_RS09825	R_ACACT1r	iCN718
	iCN718.ABAYE_RS11665		G_ABAYE_RS11665	P_ABAYE_RS11665	R_ACACT1r	iCN718
	iCN718.ABAYE_RS18840		G_ABAYE_RS18840	P_ABAYE_RS18840	R_LDH_L	iCN718
	iCN718.ABAYE_RS04450		G_ABAYE_RS04450	P_ABAYE_RS04450+ABAYE_RS04455	R_SUCOAS	iCN718
	iCN718.ABAYE_RS04455		G_ABAYE_RS04455	P_ABAYE_RS04450+ABAYE_RS04455	R_SUCOAS	iCN718
	iCN718.ABAYE_RS02095		G_ABAYE_RS02095	P_ABAYE_RS02095	R_IPDPS	iCN718
	iCN718.ABAYE_RS08160		G_ABAYE_RS08160	P_ABAYE_RS08160	R_FUM	iCN718
	iCN718.ABAYE_RS16340		G_ABAYE_RS16340	P_ABAYE_RS16340	R_FUM	iCN718
	iCN718.ABAYE_RS04415		G_ABAYE_RS04415	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_FRD2	iCN718
	iCN718.ABAYE_RS04415		G_ABAYE_RS04415	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_FRD3	iCN718
	iCN718.ABAYE_RS04415		G_ABAYE_RS04415	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_SUCD4	iCN718
	iCN718.ABAYE_RS04415		G_ABAYE_RS04415	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_SUCD1	iCN718
	iCN718.ABAYE_RS04420		G_ABAYE_RS04420	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_FRD2	iCN718
	iCN718.ABAYE_RS04420		G_ABAYE_RS04420	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_FRD3	iCN718
	iCN718.ABAYE_RS04420		G_ABAYE_RS04420	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_SUCD4	iCN718
	iCN718.ABAYE_RS04420		G_ABAYE_RS04420	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_SUCD1	iCN718
	iCN718.ABAYE_RS04425		G_ABAYE_RS04425	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_FRD2	iCN718
	iCN718.ABAYE_RS04425		G_ABAYE_RS04425	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_FRD3	iCN718
	iCN718.ABAYE_RS04425		G_ABAYE_RS04425	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_SUCD4	iCN718
	iCN718.ABAYE_RS04425		G_ABAYE_RS04425	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_SUCD1	iCN718
	iCN718.ABAYE_RS04430		G_ABAYE_RS04430	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_FRD2	iCN718
	iCN718.ABAYE_RS04430		G_ABAYE_RS04430	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_FRD3	iCN718
	iCN718.ABAYE_RS04430		G_ABAYE_RS04430	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_SUCD4	iCN718
	iCN718.ABAYE_RS04430		G_ABAYE_RS04430	P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430	R_SUCD1	iCN718
	iCN718.ABAYE_RS07230		G_ABAYE_RS07230	P_ABAYE_RS07230	R_GLYOX	iCN718
	iCN718.ABAYE_RS09945		G_ABAYE_RS09945	P_ABAYE_RS09945	R_GLYOX	iCN718
	iCN718.ABAYE_RS04095		G_ABAYE_RS04095	P_ABAYE_RS04095	R_PAPSR	iCN718
	iCN718.ABAYE_RS15510		G_ABAYE_RS15510	P_ABAYE_RS15510	R_RPE	iCN718
	iCN718.ABAYE_RS08575		G_ABAYE_RS08575	P_ABAYE_RS08575	R_RPI	iCN718
	iCN718.ABAYE_RS14305		G_ABAYE_RS14305	P_ABAYE_RS14305	R_DMALRED	iCN718
	iCN718.ABAYE_RS10795		G_ABAYE_RS10795	P_ABAYE_RS10795	R_TKT1	iCN718
	iCN718.ABAYE_RS10795		G_ABAYE_RS10795	P_ABAYE_RS10795	R_TKT2	iCN718
	iCN718.ABAYE_RS14080		G_ABAYE_RS14080	P_ABAYE_RS14080+ABAYE_RS14085	R_TKT1	iCN718
	iCN718.ABAYE_RS14080		G_ABAYE_RS14080	P_ABAYE_RS14080+ABAYE_RS14085	R_TKT2	iCN718
	iCN718.ABAYE_RS14085		G_ABAYE_RS14085	P_ABAYE_RS14080+ABAYE_RS14085	R_TKT1	iCN718
	iCN718.ABAYE_RS14085		G_ABAYE_RS14085	P_ABAYE_RS14080+ABAYE_RS14085	R_TKT2	iCN718
	iCN718.ABAYE_RS11295		G_ABAYE_RS11295	P_ABAYE_RS11295	R_MCOATA	iCN718
	iCN718.ABAYE_RS14920		G_ABAYE_RS14920	P_ABAYE_RS14920	R_MCOATA	iCN718
	iCN718.ABAYE_RS07915		G_ABAYE_RS07915	P_ABAYE_RS07915	R_TALA	iCN718
	iCN718.ABAYE_RS16320		G_ABAYE_RS16320	P_ABAYE_RS16320	R_EDA	iCN718
	iCN718.ABAYE_RS16320		G_ABAYE_RS16320	P_ABAYE_RS16320	R_DDPGA	iCN718
	iCN718.ABAYE_RS16380		G_ABAYE_RS16380	P_ABAYE_RS16380	R_IPPS	iCN718
	iCN718.ABAYE_RS16310		G_ABAYE_RS16310	P_ABAYE_RS16310	R_GNK	iCN718
	iCN718.ABAYE_RS03715		G_ABAYE_RS03715	P_ABAYE_RS03715	R_SULR	iCN718
	iCN718.ABAYE_RS03975		G_ABAYE_RS03975	P_ABAYE_RS03975	R_SULR	iCN718
	iCN718.ABAYE_RS16325		G_ABAYE_RS16325	P_ABAYE_RS16325	R_EDD	iCN718
	iCN718.ABAYE_RS08395		G_ABAYE_RS08395	P_ABAYE_RS08395	R_FRUK	iCN718
	iCN718.ABAYE_RS18215		G_ABAYE_RS18215	P_ABAYE_RS18215	R_FCLPA	iCN718
	iCN718.ABAYE_RS04630		G_ABAYE_RS04630	P_ABAYE_RS04630	R_PEPCK_re	iCN718
	iCN718.ABAYE_RS13900		G_ABAYE_RS13900	P_ABAYE_RS13900	R_ICL	iCN718
	iCN718.ABAYE_RS18870		G_ABAYE_RS18870	P_ABAYE_RS18870	R_GALUi	iCN718
	iCN718.ABAYE_RS08155		G_ABAYE_RS08155	P_ABAYE_RS08155	R_UDPG4E	iCN718
	iCN718.ABAYE_RS18875		G_ABAYE_RS18875	P_ABAYE_RS18875	R_UDPG4E	iCN718
