protein	reaction	model	GPR	score
P_100751272	R_ARABR	iCHOv1		0.0
P_100751272	R_LALDO2x	iCHOv1		0.0
P_100751272	R_LCARR	iCHOv1		0.0
P_100751272	R_PPDOy	iCHOv1		0.0
P_100751303	R_ALDD19xr	iCHOv1		0.0
P_100751303	R_GCALDD	iCHOv1		0.0
P_100751347	R_PYK	iCHOv1		0.0
P_100751356	R_GTHPi	iCHOv1		0.0
P_100751372	R_ADNCYC	iCHOv1		0.0
P_100751427	R_SBTD_D2	iCHOv1		0.0
P_100751492	R_FACOAL160	iCHOv1		0.0
P_100751492	R_FACOAL161	iCHOv1		0.0
P_100751492	R_FACOAL180	iCHOv1		0.0
P_100751492	R_FACOAL181	iCHOv1		0.0
P_100751492	R_FACOAL1812	iCHOv1		0.0
P_100751492	R_FACOAL1821	iCHOv1		0.0
P_100751492	R_FACOAL80	iCHOv1		0.0
P_100751501	R_PFK	iCHOv1		0.0
P_100751501+100754270	R_PFK	iCHOv1		0.0
P_100751501+100762127	R_PFK	iCHOv1		0.0
P_100751551	R_PDE1	iCHOv1		0.0
P_100751551	R_PDE4	iCHOv1		0.0
P_100751558	R_GLYCt	iCHOv1		0.0
P_100751558	R_H2Ot	iCHOv1		0.0
P_100751558	R_UREAt	iCHOv1		0.0
P_100751632	R_AMPTASECG	iCHOv1		0.0
P_100751653	R_MEVK1	iCHOv1		0.0
P_100751666	R_P5CRx	iCHOv1		0.0
P_100751684	R_CYTDt4	iCHOv1		0.0
P_100751684	R_THMDt4	iCHOv1		0.0
P_100751755	R_ALR2	iCHOv1		0.0
P_100751755	R_ALR3	iCHOv1		0.0
P_100751774	R_ALKP	iCHOv1		0.0
P_100751791	R_DCMPDA	iCHOv1		0.0
P_100751825	R_ADSS	iCHOv1		0.0
P_100751894	R_RNMK	iCHOv1		0.0
P_100751960	R_ORNDC	iCHOv1		0.0
P_100752009	R_NDPK1	iCHOv1		0.0
P_100752009	R_NDPK10	iCHOv1		0.0
P_100752009	R_NDPK2	iCHOv1		0.0
P_100752009	R_NDPK3	iCHOv1		0.0
P_100752009	R_NDPK4	iCHOv1		0.0
P_100752009	R_NDPK5	iCHOv1		0.0
P_100752009	R_NDPK6	iCHOv1		0.0
P_100752009	R_NDPK7	iCHOv1		0.0
P_100752009	R_NDPK8	iCHOv1		0.0
P_100752009	R_NDPK9	iCHOv1		0.0
P_100752083	R_GALKr	iCHOv1		0.0
P_100752127	R_CYSTGL	iCHOv1		0.0
P_100752129	R_FACOAL160	iCHOv1		0.0
P_100752129	R_FACOAL181	iCHOv1		0.0
P_100752129	R_FACOAL1812	iCHOv1		0.0
P_100752314	R_PPBNGS	iCHOv1		0.0
P_100752327+100772831	R_METAT	iCHOv1		0.0
P_100752423	R_GUACYC	iCHOv1		0.0
P_100752451	R_OPAH	iCHOv1		0.0
P_100752522	R_UGLT	iCHOv1		0.0
P_100752542+100761591	R_RNDR1	iCHOv1		0.0
P_100752542+100761591	R_RNDR2	iCHOv1		0.0
P_100752542+100761591	R_RNDR3	iCHOv1		0.0
P_100752542+100761591	R_RNDR4	iCHOv1		0.0
P_100752583	R_FACOAL140	iCHOv1		0.0
P_100752583	R_FACOAL160	iCHOv1		0.0
P_100752583	R_FACOAL161	iCHOv1		0.0
P_100752583	R_FACOAL180	iCHOv1		0.0
P_100752583	R_FACOAL181	iCHOv1		0.0
P_100752583	R_FACOAL1812	iCHOv1		0.0
P_100752583	R_FACOAL1821	iCHOv1		0.0
P_100752583	R_FACOAL80	iCHOv1		0.0
P_100752599	R_H2Ot	iCHOv1		0.0
P_100752607	R_H2CO3D	iCHOv1		0.0
P_100752636	R_DHPM1	iCHOv1		0.0
P_100752636	R_DHPM2	iCHOv1		0.0
P_100752663	R_PYNP2r	iCHOv1		0.0
P_100752686	R_PPOR	iCHOv1		0.0
P_100752744	R_GLYCLTDy	iCHOv1		0.0
P_100752744	R_HPYRRx	iCHOv1		0.0
P_100752744	R_HPYRRy	iCHOv1		0.0
P_100752813+100762580+100764811	R_PDE4	iCHOv1		0.0
P_100752832+100768699	R_GUACYC	iCHOv1		0.0
P_100752832+100769238	R_GUACYC	iCHOv1		0.0
P_100752856	R_ENO	iCHOv1		0.0
P_100752880	R_ADK1	iCHOv1		0.0
P_100752880	R_CYTK1	iCHOv1		0.0
P_100752880	R_CYTK2	iCHOv1		0.0
P_100752880	R_DADK	iCHOv1		0.0
P_100752880	R_NDPK1	iCHOv1		0.0
P_100752880	R_NDPK10	iCHOv1		0.0
P_100752880	R_NDPK2	iCHOv1		0.0
P_100752880	R_NDPK3	iCHOv1		0.0
P_100752880	R_NDPK4	iCHOv1		0.0
P_100752880	R_NDPK5	iCHOv1		0.0
P_100752880	R_NDPK6	iCHOv1		0.0
P_100752880	R_NDPK7	iCHOv1		0.0
P_100752880	R_NDPK8	iCHOv1		0.0
P_100752880	R_NDPK9	iCHOv1		0.0
P_100752902	R_ACCOAL	iCHOv1		0.0
P_100752902	R_ACS	iCHOv1		0.0
P_100752902	R_ACS2	iCHOv1		0.0
P_100753124	R_ACCOAC	iCHOv1		0.0
P_100753124+100762904	R_ACCOAC	iCHOv1		0.0
P_100753140	R_GLYK	iCHOv1		0.0
P_100753184	R_PGMT	iCHOv1		0.0
P_100753200	R_GTHS	iCHOv1		0.0
P_100753207	R_ASPO1	iCHOv1		0.0
P_100753233	R_CAATPS	iCHOv1		0.0
P_100753277	R_PDE1	iCHOv1		0.0
P_100753284	R_UPPDC1	iCHOv1		0.0
P_100753308	R_PDX5POi	iCHOv1		0.0
P_100753308	R_PYAM5PO	iCHOv1		0.0
P_100753439	R_FEROc	iCHOv1		0.0
P_100753604	R_NAt	iCHOv1		0.0
P_100753604	R_UREAt	iCHOv1		0.0
P_100753802	R_HISDr	iCHOv1		0.0
P_100753849	R_FEROc	iCHOv1		0.0
P_100754020	R_TKT1	iCHOv1		0.0
P_100754020	R_TKT2	iCHOv1		0.0
P_100754097	R_FTCD	iCHOv1		0.0
P_100754097	R_GluForTx	iCHOv1		0.0
P_100754101	R_IZPN	iCHOv1		0.0
P_100754190	R_FACOAL160	iCHOv1		0.0
P_100754196	R_H2CO3D	iCHOv1		0.0
P_100754270	R_PFK	iCHOv1		0.0
P_100754270+100762127	R_PFK	iCHOv1		0.0
P_100754276	R_TMDS	iCHOv1		0.0
P_100754362	R_PDE1	iCHOv1		0.0
P_100754434	R_ASNN	iCHOv1		0.0
P_100754476	R_AHCi	iCHOv1		0.0
P_100754476	R_SEAHCYSHYD	iCHOv1		0.0
P_100754740	R_CYTDK1	iCHOv1		0.0
P_100754740	R_CYTDK2	iCHOv1		0.0
P_100754740	R_URIK1	iCHOv1		0.0
P_100754740	R_URIK2	iCHOv1		0.0
P_100754759	R_GUACYC	iCHOv1		0.0
P_100754767	R_FACOAL160	iCHOv1		0.0
P_100754767	R_FACOAL180	iCHOv1		0.0
P_100754767	R_FACOAL181	iCHOv1		0.0
P_100754767	R_FACOAL1812	iCHOv1		0.0
P_100754767	R_FACOAL1821	iCHOv1		0.0
P_100754792	R_GUAt	iCHOv1		0.0
P_100754792	R_THYMt	iCHOv1		0.0
P_100754792	R_URAt	iCHOv1		0.0
P_100754972	R_CYTD	iCHOv1		0.0
P_100754972	R_DCYTD	iCHOv1		0.0
P_100755018	R_CHOLK	iCHOv1		0.0
P_100755179	R_FBA	iCHOv1		0.0
P_100755179	R_FBA2	iCHOv1		0.0
P_100755186	R_PGK	iCHOv1		0.0
P_100755202	R_PSP_L	iCHOv1		0.0
P_100755205	R_NNDPR	iCHOv1		0.0
P_100755252	R_DTMPK	iCHOv1		0.0
P_100755252	R_URIDK2r	iCHOv1		0.0
P_100755263	R_PIt7	iCHOv1		0.0
P_100755315	R_PDE4	iCHOv1		0.0
P_100755419	R_H2CO3D	iCHOv1		0.0
P_100755461	R_PYK	iCHOv1		0.0
P_100755503	R_GUACYC	iCHOv1		0.0
P_100755554	R_PIt7	iCHOv1		0.0
P_100755596	R_4HALDD	iCHOv1		0.0
P_100755596	R_ALDD19xr	iCHOv1		0.0
P_100755596	R_ALDD2x	iCHOv1		0.0
P_100755596	R_ALDD2y	iCHOv1		0.0
P_100755596	R_GCALDD	iCHOv1		0.0
P_100755596	R_LCADi	iCHOv1		0.0
P_100755599	R_HYPOE	iCHOv1		0.0
P_100755599	R_PDXPP	iCHOv1		0.0
P_100755599	R_PYDXPP	iCHOv1		0.0
P_100755696	R_NADK	iCHOv1		0.0
P_100755723	R_FA120ACPHi	iCHOv1		0.0
P_100755850	R_PIt7	iCHOv1		0.0
P_100755928	R_NAt3_1	iCHOv1		0.0
P_100755939	R_PDE1	iCHOv1		0.0
P_100755966	R_NTD7	iCHOv1		0.0
P_100756109	R_GTHPi	iCHOv1		0.0
P_100756126	R_GMPS2	iCHOv1		0.0
P_100756130	R_RPE	iCHOv1		0.0
P_100756132	R_ADNCYC	iCHOv1		0.0
P_100756142	R_PIt7	iCHOv1		0.0
P_100756246	R_MDH	iCHOv1		0.0
P_100756254	R_ADA	iCHOv1		0.0
P_100756254	R_DADA	iCHOv1		0.0
P_100756257	R_H2CO3D	iCHOv1		0.0
P_100756277	R_INOSTO	iCHOv1		0.0
P_100756363	R_HMGCOAR	iCHOv1		0.0
P_100756372	R_NAMNPP	iCHOv1		0.0
P_100756470	R_4HALDD	iCHOv1		0.0
P_100756470	R_ALDD19xr	iCHOv1		0.0
P_100756470	R_ALDD2x	iCHOv1		0.0
P_100756470	R_ALDD2y	iCHOv1		0.0
P_100756470	R_GCALDD	iCHOv1		0.0
P_100756470	R_LCADi	iCHOv1		0.0
P_100756509	R_AASAD3	iCHOv1		0.0
P_100756509	R_ALDD19xr	iCHOv1		0.0
P_100756509	R_ALDD2x	iCHOv1		0.0
P_100756509	R_BETALDHx	iCHOv1		0.0
P_100756509	R_GCALDD	iCHOv1		0.0
P_100756509	R_LCADi	iCHOv1		0.0
P_100756509	R_NABTNO	iCHOv1		0.0
P_100756511	R_PDE1	iCHOv1		0.0
P_100756511	R_PDE4	iCHOv1		0.0
P_100756588	R_SPMS	iCHOv1		0.0
P_100756617	R_ALCD1	iCHOv1		0.0
P_100756617	R_ALCD22_L	iCHOv1		0.0
P_100756617	R_ALCD2x	iCHOv1		0.0
P_100756617	R_LCARS	iCHOv1		0.0
P_100756617+100760081	R_ALCD2x	iCHOv1		0.0
P_100756687	R_ARGSL	iCHOv1		0.0
P_100756769	R_ACACt2	iCHOv1		0.0
P_100756769	R_ACt2r	iCHOv1		0.0
P_100756769	R_D_LACt2	iCHOv1		0.0
P_100756769	R_L_LACt2r	iCHOv1		0.0
P_100756786	R_OMPDC	iCHOv1		0.0
P_100756786	R_ORPT	iCHOv1		0.0
P_100756872	R_HOXG	iCHOv1		0.0
P_100757075	R_NTD1	iCHOv1		0.0
P_100757075	R_NTD12	iCHOv1		0.0
P_100757075	R_NTD2	iCHOv1		0.0
P_100757075	R_NTD3	iCHOv1		0.0
P_100757075	R_NTD5	iCHOv1		0.0
P_100757075	R_NTD6	iCHOv1		0.0
P_100757075	R_NTD7	iCHOv1		0.0
P_100757075	R_NTD8	iCHOv1		0.0
P_100757075	R_NTD9	iCHOv1		0.0
P_100757135	R_GALKr	iCHOv1		0.0
P_100757152	R_TMDPP	iCHOv1		0.0
P_100757262	R_ALCD19y	iCHOv1		0.0
P_100757262	R_ARABR	iCHOv1		0.0
P_100757262	R_PPDOy	iCHOv1		0.0
P_100757298	R_NAt3_1	iCHOv1		0.0
P_100757367	R_L_LACt2r	iCHOv1		0.0
P_100757371	R_4HALDD	iCHOv1		0.0
P_100757371	R_ALDD19xr	iCHOv1		0.0
P_100757371	R_ALDD2x	iCHOv1		0.0
P_100757371	R_ALDD2y	iCHOv1		0.0
P_100757371	R_GCALDD	iCHOv1		0.0
P_100757371	R_LCADi	iCHOv1		0.0
P_100757472	R_UPP3S	iCHOv1		0.0
P_100757548	R_PGM	iCHOv1		0.0
P_100757585	R_NAt3_1	iCHOv1		0.0
P_100757642	R_ASP1DC	iCHOv1		0.0
P_100757642	R_GLUDC	iCHOv1		0.0
P_100757658	R_ALDD19xr	iCHOv1		0.0
P_100757658	R_ALDD2x	iCHOv1		0.0
P_100757658	R_ALDD2y	iCHOv1		0.0
P_100757658	R_GCALDD	iCHOv1		0.0
P_100757658	R_LCADi	iCHOv1		0.0
P_100757658	R_NABTNO	iCHOv1		0.0
P_100757665	R_PTRCAT1	iCHOv1		0.0
P_100757729	R_NP1	iCHOv1		0.0
P_100757729	R_PNP	iCHOv1		0.0
P_100757729	R_PUNP1	iCHOv1		0.0
P_100757729	R_PUNP2	iCHOv1		0.0
P_100757729	R_PUNP3	iCHOv1		0.0
P_100757729	R_PUNP4	iCHOv1		0.0
P_100757729	R_PUNP5	iCHOv1		0.0
P_100757729	R_PUNP6	iCHOv1		0.0
P_100757729	R_PUNP7	iCHOv1		0.0
P_100757819	R_HMBS	iCHOv1		0.0
P_100757832	R_FOLt	iCHOv1		0.0
P_100757832	R_PHEMEt	iCHOv1		0.0
P_100757898	R_DPCOAK	iCHOv1		0.0
P_100757898	R_PTPATi	iCHOv1		0.0
P_100757944	R_FUMAC	iCHOv1		0.0
P_100757969	R_GUACYC	iCHOv1		0.0
P_100757970	R_GTHOr	iCHOv1		0.0
P_100758075	R_GMPR	iCHOv1		0.0
P_100758117	R_ACGAMK	iCHOv1		0.0
P_100758117	R_AMANK	iCHOv1		0.0
P_100758120	R_ARABR	iCHOv1		0.0
P_100758277	R_DURIPP	iCHOv1		0.0
P_100758277	R_PYNP2r	iCHOv1		0.0
P_100758328	R_FTHFCL	iCHOv1		0.0
P_100758414	R_ENO	iCHOv1		0.0
P_100758600	R_P5CR	iCHOv1		0.0
P_100758600	R_P5CRx	iCHOv1		0.0
P_100758717	R_ADK1	iCHOv1		0.0
P_100758717	R_ADKd	iCHOv1		0.0
P_100758717	R_CPK1	iCHOv1		0.0
P_100758717	R_CYTK1	iCHOv1		0.0
P_100758717	R_CYTK2	iCHOv1		0.0
P_100758717	R_CYTK2_1	iCHOv1		0.0
P_100758717	R_DADK	iCHOv1		0.0
P_100758717	R_NDPK1	iCHOv1		0.0
P_100758717	R_NDPK10	iCHOv1		0.0
P_100758717	R_NDPK3	iCHOv1		0.0
P_100758717	R_NDPK5	iCHOv1		0.0
P_100758717	R_NDPK6	iCHOv1		0.0
P_100758717	R_UMPK	iCHOv1		0.0
P_100758717	R_URIDK2r	iCHOv1		0.0
P_100758749	R_PEPCK_re	iCHOv1		0.0
P_100758864	R_ALAt4	iCHOv1		0.0
P_100758864	R_ASNt4	iCHOv1		0.0
P_100758864	R_GLYt4	iCHOv1		0.0
P_100758951	R_ABUTD	iCHOv1		0.0
P_100758951	R_ALDD19xr	iCHOv1		0.0
P_100758951	R_ALDD2x	iCHOv1		0.0
P_100758951	R_ALDD2y	iCHOv1		0.0
P_100758951	R_BETALDHx	iCHOv1		0.0
P_100758951	R_GCALDD	iCHOv1		0.0
P_100758951	R_LCADi	iCHOv1		0.0
P_100758951	R_NABTNO	iCHOv1		0.0
P_100758958	R_ICDHyr	iCHOv1		0.0
P_100758964	R_CTPS2	iCHOv1		0.0
P_100758981	R_GLYCt	iCHOv1		0.0
P_100758981	R_H2Ot	iCHOv1		0.0
P_100758981	R_UREAt	iCHOv1		0.0
P_100758991	R_AIRCr	iCHOv1		0.0
P_100758991	R_PRASCSi	iCHOv1		0.0
P_100759137	R_PRPPS	iCHOv1		0.0
P_100759191	R_MCD	iCHOv1		0.0
P_100759203	R_ACONT	iCHOv1		0.0
P_100759210	R_ALCD1	iCHOv1		0.0
P_100759210	R_ALCD22_L	iCHOv1		0.0
P_100759210	R_LCARS	iCHOv1		0.0
P_100759306	R_UAG4Ei	iCHOv1		0.0
P_100759306	R_UDPG4E	iCHOv1		0.0
P_100759346	R_ADK1	iCHOv1		0.0
P_100759346	R_DADK	iCHOv1		0.0
P_100759346	R_NDPK1	iCHOv1		0.0
P_100759346	R_NDPK10	iCHOv1		0.0
P_100759346	R_NDPK2	iCHOv1		0.0
P_100759346	R_NDPK3	iCHOv1		0.0
P_100759346	R_NDPK4	iCHOv1		0.0
P_100759346	R_NDPK5	iCHOv1		0.0
P_100759346	R_NDPK6	iCHOv1		0.0
P_100759346	R_NDPK7	iCHOv1		0.0
P_100759346	R_NDPK8	iCHOv1		0.0
P_100759346	R_NDPK9	iCHOv1		0.0
P_100759469	R_PIt7	iCHOv1		0.0
P_100759532	R_PRPPS	iCHOv1		0.0
P_100759611	R_NAt3_1	iCHOv1		0.0
P_100759648	R_AACTOOR	iCHOv1		0.0
P_100759648	R_APRTO2	iCHOv1		0.0
P_100759648	R_TRYPTAOX	iCHOv1		0.0
P_100759670	R_CAATPS	iCHOv1		0.0
P_100759696	R_PDE1	iCHOv1		0.0
P_100759944	R_PDE1	iCHOv1		0.0
P_100759992	R_PMEVK	iCHOv1		0.0
P_100760000	R_ACACT1r	iCHOv1		0.0
P_100760081	R_ALCD1	iCHOv1		0.0
P_100760081	R_ALCD22_L	iCHOv1		0.0
P_100760081	R_ALCD2x	iCHOv1		0.0
P_100760081	R_LCARS	iCHOv1		0.0
P_100760137	R_GLYCt	iCHOv1		0.0
P_100760137	R_H2Ot	iCHOv1		0.0
P_100760137	R_UREAt	iCHOv1		0.0
P_100760149	R_GLUPRT	iCHOv1		0.0
P_100760222	R_PDE1	iCHOv1		0.0
P_100760225	R_ASNS1	iCHOv1		0.0
P_100760390	R_H2CO3D	iCHOv1		0.0
P_100760390	R_HCO3E	iCHOv1		0.0
P_100760443	R_GUAD	iCHOv1		0.0
P_100760489	R_ADK1	iCHOv1		0.0
P_100760489	R_ADK3	iCHOv1		0.0
P_100760489	R_CYTK1	iCHOv1		0.0
P_100760489	R_CYTK2	iCHOv1		0.0
P_100760489	R_DADK	iCHOv1		0.0
P_100760489	R_NDPK1	iCHOv1		0.0
P_100760489	R_NDPK10	iCHOv1		0.0
P_100760489	R_NDPK2	iCHOv1		0.0
P_100760489	R_NDPK3	iCHOv1		0.0
P_100760489	R_NDPK4	iCHOv1		0.0
P_100760489	R_NDPK5	iCHOv1		0.0
P_100760489	R_NDPK6	iCHOv1		0.0
P_100760489	R_NDPK7	iCHOv1		0.0
P_100760489	R_NDPK8	iCHOv1		0.0
P_100760489	R_NDPK9	iCHOv1		0.0
P_100760496	R_FACOAL160	iCHOv1		0.0
P_100760496	R_FACOAL161	iCHOv1		0.0
P_100760496	R_FACOAL180	iCHOv1		0.0
P_100760496	R_FACOAL181	iCHOv1		0.0
P_100760496	R_FACOAL1812	iCHOv1		0.0
P_100760496	R_FACOAL1821	iCHOv1		0.0
P_100760506	R_ALATA_L	iCHOv1		0.0
P_100760520	R_MI1PP	iCHOv1		0.0
P_100760520	R_MI3PP	iCHOv1		0.0
P_100760550	R_IMPD	iCHOv1		0.0
P_100760573	R_MAN1PT	iCHOv1		0.0
P_100760573	R_MAN1PT2	iCHOv1		0.0
P_100760573+100765276	R_MAN1PT	iCHOv1		0.0
P_100760626	R_NBAHH_ir	iCHOv1		0.0
P_100760677	R_H2CO3D	iCHOv1		0.0
P_100760749	R_FBA	iCHOv1		0.0
P_100760749	R_FBA2	iCHOv1		0.0
P_100760751	R_PSERT	iCHOv1		0.0
P_100760815	R_AACTOOR	iCHOv1		0.0
P_100760815	R_APRTO2	iCHOv1		0.0
P_100760815	R_TRYPTAOX	iCHOv1		0.0
P_100760956	R_PRFGS	iCHOv1		0.0
P_100760987	R_CHLP	iCHOv1		0.0
P_100760992	R_CYTDK1	iCHOv1		0.0
P_100760992	R_CYTDK2	iCHOv1		0.0
P_100760992	R_URIK1	iCHOv1		0.0
P_100760992	R_URIK2	iCHOv1		0.0
P_100761029	R_PGMT	iCHOv1		0.0
P_100761029	R_PPM	iCHOv1		0.0
P_100761133	R_G6PDA	iCHOv1		0.0
P_100761203	R_NBAHH_ir	iCHOv1		0.0
P_100761248	R_FBP	iCHOv1		0.0
P_100761317	R_NAt3_1	iCHOv1		0.0
P_100761433	R_H2CO3D	iCHOv1		0.0
P_100761450	R_GLYt4	iCHOv1		0.0
P_100761485	R_MTAP	iCHOv1		0.0
P_100761511	R_URCN	iCHOv1		0.0
P_100761591+100768429	R_RNDR1	iCHOv1		0.0
P_100761591+100768429	R_RNDR2	iCHOv1		0.0
P_100761591+100768429	R_RNDR3	iCHOv1		0.0
P_100761591+100768429	R_RNDR4	iCHOv1		0.0
P_100761703	R_ADK1	iCHOv1		0.0
P_100761703	R_ADK3	iCHOv1		0.0
P_100761703	R_DADK	iCHOv1		0.0
P_100761703	R_NDPK1	iCHOv1		0.0
P_100761703	R_NDPK10	iCHOv1		0.0
P_100761703	R_NDPK2	iCHOv1		0.0
P_100761703	R_NDPK3	iCHOv1		0.0
P_100761703	R_NDPK4	iCHOv1		0.0
P_100761703	R_NDPK5	iCHOv1		0.0
P_100761703	R_NDPK6	iCHOv1		0.0
P_100761703	R_NDPK7	iCHOv1		0.0
P_100761703	R_NDPK8	iCHOv1		0.0
P_100761703	R_NDPK9	iCHOv1		0.0
P_100761706	R_ABUTD	iCHOv1		0.0
P_100761706	R_ALDD19xr	iCHOv1		0.0
P_100761706	R_ALDD2x	iCHOv1		0.0
P_100761706	R_GCALDD	iCHOv1		0.0
P_100761706	R_NABTNO	iCHOv1		0.0
P_100761742	R_3HLYTCL	iCHOv1		0.0
P_100761742	R_LTDCL	iCHOv1		0.0
P_100761742	R_PHYCBOXL	iCHOv1		0.0
P_100761944	R_PGM	iCHOv1		0.0
P_100761944+100766080	R_PGM	iCHOv1		0.0
P_100761944+100770062	R_PGM	iCHOv1		0.0
P_100761966	R_GUAt	iCHOv1		0.0
P_100761966	R_HYXNt	iCHOv1		0.0
P_100761966	R_THYMt	iCHOv1		0.0
P_100761966	R_URAt	iCHOv1		0.0
P_100762089	R_FDH	iCHOv1		0.0
P_100762127	R_PFK	iCHOv1		0.0
P_100762141	R_CYSTS	iCHOv1		0.0
P_100762235	R_HMGCOAS	iCHOv1		0.0
P_100762274	R_ARGSS	iCHOv1		0.0
P_100762288	R_ALAt4	iCHOv1		0.0
P_100762288	R_ASNt4	iCHOv1		0.0
P_100762288	R_GLYt4	iCHOv1		0.0
P_100762297	R_3SALATAi	iCHOv1		0.0
P_100762297	R_ASPTA	iCHOv1		0.0
P_100762297	R_CYSTA	iCHOv1		0.0
P_100762297	R_EHGLAT	iCHOv1		0.0
P_100762297	R_PHETA1	iCHOv1		0.0
P_100762297	R_TYRTA	iCHOv1		0.0
P_100762399	R_DRBK	iCHOv1		0.0
P_100762399	R_RBK	iCHOv1		0.0
P_100762413	R_ADSELK	iCHOv1		0.0
P_100762413	R_ADSK	iCHOv1		0.0
P_100762413	R_SADT	iCHOv1		0.0
P_100762413	R_SELADT	iCHOv1		0.0
P_100762426	R_HGNTOR	iCHOv1		0.0
